PartNo/Pin,1,2
R1,"SIN1.14
K1.5",GND
R2,"SIN1.13
K2.5",GND
R3,"SIN1.12
K3.5",GND
R4,"K4.5
SIN1.11",GND
R5,"SIN1.6
BT1.2",GND
R6,"SIN2.14
K5.5",GND
R7,"SIN2.13
K6.5",GND
R8,"SIN2.12
TOG1.3",GND
R9,"SIN2.11
TOG1.1",GND
R10,"SIN2.6
TOG2.1",GND
R11,"TOG2.3
SIN2.5",GND
R12,"SIN2.4
K7.5",GND
R13,"SIN2.3
K8.5",GND
R14,"SIN3.14
K9.5",GND
R15,"SIN3.13
K10.5",GND
R16,"SIN3.12
K11.5",GND
R17,"SIN3.11
TSW1.2",GND
R18,"SIN3.6
TSW1.3",GND
R19,"SIN3.5
TSW1.4",GND
R20,"SIN3.4
TSW1.5",GND
R21,"SIN3.3
TSW1.6",GND
R22,"SIN4.14
TSW2.7",GND
R23,"SIN4.13
TSW2.6",GND
R24,"TSW2.5
SIN4.12",GND
R25,"TSW2.4
SIN4.11",GND
R26,"SIN4.6
TSW2.3",GND
R27,"SIN4.5
TSW2.2",GND
R28,"SIN4.4
BT2.2",GND
R29,"SIN4.3
K12.5",GND
R30,"SIN5.14
K13.5",GND
R31,"BT3.2
SIN5.13",GND
R32,"SIN5.4
K14.5",GND
R33,"SIN5.3
K15.5",GND
R34,"SIN6.14
K16.5",GND
R35,"K17.5
SIN6.13",GND
R36,"SIN6.12
BT4.2",GND
R37,M1.5,VCC
